"Time (s)","Pressure (hPa)"
3.747611530E2,9.926921082E2
3.758292000E2,9.926710510E2
3.768972620E2,9.926547241E2
3.779652840E2,9.926377106E2
3.790333480E2,9.926203156E2
3.801014030E2,9.926017761E2
3.811694610E2,9.925849915E2
3.822375410E2,9.925656128E2
3.833056490E2,9.925460052E2
3.843736980E2,9.925252533E2
3.854417110E2,9.925050354E2
3.865097490E2,9.924818420E2
3.875778150E2,9.924581146E2
3.886458030E2,9.924307251E2
3.897138400E2,9.924043274E2
3.907818600E2,9.923760986E2
3.918498470E2,9.923481750E2
3.929178240E2,9.923214722E2
3.939858210E2,9.922963715E2
3.950538420E2,9.922726440E2
3.961218880E2,9.922507477E2
3.971899170E2,9.922299194E2
3.982579390E2,9.922092438E2
3.993260140E2,9.921905518E2
4.003940990E2,9.921736908E2
4.014621280E2,9.921582794E2
4.025301640E2,9.921437073E2
4.035981670E2,9.921312714E2
4.046661710E2,9.921190643E2
4.057341750E2,9.921060944E2
4.068021880E2,9.920887756E2
4.078702650E2,9.920721436E2
4.089382990E2,9.920521545E2
4.100063510E2,9.920317078E2
4.110744180E2,9.920109558E2
4.121424650E2,9.919923401E2
4.132105610E2,9.919718170E2
4.142786090E2,9.919526672E2
4.153465940E2,9.919337463E2
4.164146190E2,9.919144440E2
4.174826150E2,9.918952179E2
4.185506240E2,9.918753815E2
4.196186360E2,9.918560028E2
4.206866540E2,9.918359375E2
4.217545850E2,9.918161011E2
4.228225690E2,9.917971802E2
4.238905240E2,9.917784882E2
4.249584980E2,9.917631531E2
4.260264500E2,9.917478180E2
4.270944010E2,9.917325592E2
4.281623360E2,9.917147827E2
4.292302800E2,9.916997528E2
4.302982220E2,9.916815186E2
4.313662200E2,9.916645813E2
4.324342020E2,9.916463470E2
4.335021390E2,9.916294098E2
4.345701080E2,9.916108704E2
4.356380980E2,9.915924835E2
4.367060970E2,9.915733337E2
4.377740020E2,9.915556335E2
4.388419520E2,9.915378571E2
4.399099020E2,9.915187073E2
4.409778280E2,9.915024567E2
4.420457660E2,9.914844513E2
4.431137120E2,9.914662933E2
4.441816970E2,9.914473724E2
4.452496190E2,9.914305878E2
4.463175600E2,9.914146423E2
4.473855800E2,9.913977051E2
4.484535480E2,9.913813019E2
4.495215650E2,9.913636017E2
4.505896170E2,9.913464355E2
4.516576710E2,9.913259888E2
4.527256620E2,9.913058472E2
4.537936470E2,9.912881470E2
4.548616110E2,9.912712097E2
4.559296160E2,9.912536621E2
4.569975650E2,9.912374878E2
4.580655180E2,9.912236023E2
4.591334820E2,9.912069702E2
4.602013540E2,9.911894226E2
4.612692300E2,9.911711884E2
4.623371130E2,9.911550903E2
4.634050830E2,9.911372375E2
4.644730800E2,9.911196899E2
4.655410400E2,9.911024475E2
4.666089400E2,9.910862732E2
4.676769090E2,9.910676575E2
4.687449140E2,9.910490417E2
4.698129240E2,9.910308075E2
4.708809080E2,9.910139465E2
4.719488420E2,9.909957886E2
4.730168180E2,9.909790039E2
4.740847710E2,9.909629059E2
4.751527250E2,9.909452057E2
4.762207810E2,9.909274292E2
4.772888020E2,9.909100342E2
4.783567620E2,9.908912659E2
4.794247330E2,9.908744049E2
4.804927120E2,9.908580780E2
4.815607150E2,9.908419037E2
4.826287810E2,9.908259583E2
4.836968220E2,9.908100128E2
4.847648190E2,9.907928467E2
4.858328560E2,9.907754517E2
4.869008670E2,9.907571411E2
4.879689130E2,9.907355499E2
4.890368780E2,9.907191467E2
4.901048660E2,9.907003784E2
4.911727960E2,9.906810760E2
4.922407550E2,9.906620026E2
4.933087430E2,9.906457520E2
4.943767580E2,9.906262207E2
4.954447650E2,9.906079102E2
4.965127920E2,9.905900574E2
4.975808250E2,9.905707550E2
4.986488370E2,9.905545044E2
4.997168290E2,9.905359650E2
5.007848400E2,9.905170441E2
