"Time (s)","Pressure (hPa)"
9.586729059E2,9.844091034E2
9.597444909E2,9.843928528E2
9.608160759E2,9.843742371E2
9.618876569E2,9.843573761E2
9.629592059E2,9.843443298E2
9.640307889E2,9.843286896E2
9.651023419E2,9.843099213E2
9.661739449E2,9.842918396E2
9.672455089E2,9.842787170E2
9.683170509E2,9.842692566E2
9.693886049E2,9.842640686E2
9.704601649E2,9.842599487E2
9.715317249E2,9.842519379E2
9.726032229E2,9.842433167E2
9.736747499E2,9.842358398E2
9.747462729E2,9.842237091E2
9.758177899E2,9.842084503E2
9.768893539E2,9.841920471E2
9.779608939E2,9.841751099E2
9.790324359E2,9.841544342E2
9.801040159E2,9.841341400E2
9.811755849E2,9.841197205E2
9.822471019E2,9.841091156E2
9.833186539E2,9.841014099E2
9.843901869E2,9.840948486E2
9.854617249E2,9.840869904E2
9.865332809E2,9.840756226E2
9.876048339E2,9.840630341E2
9.886763219E2,9.840476227E2
9.897478319E2,9.840323639E2
9.908193539E2,9.840198517E2
9.918908869E2,9.840082550E2
9.929624099E2,9.839888000E2
9.940339219E2,9.839691925E2
9.951054479E2,9.839477539E2
9.961769819E2,9.839258575E2
9.972484949E2,9.839057159E2
9.983200029E2,9.838964844E2
9.993915539E2,9.838925934E2
1.000463077E3,9.838906097E2
1.001534606E3,9.838820648E2
1.002606158E3,9.838742065E2
1.003677709E3,9.838617706E2
1.004749241E3,9.838440704E2
1.005820808E3,9.838255310E2
1.006892416E3,9.838078308E2
1.007964008E3,9.837902069E2
1.009035582E3,9.837736511E2
1.010107166E3,9.837621307E2
1.011178689E3,9.837499237E2
1.012250208E3,9.837391663E2
1.013321758E3,9.837311554E2
1.014393340E3,9.837207794E2
1.015464912E3,9.837045288E2
