"Time (s)","Pressure (hPa)"
4.063093076E2,9.930860596E2
4.063492958E2,9.930848389E2
4.063893108E2,9.930817261E2
4.064293045E2,9.930787354E2
4.064693096E2,9.930759888E2
4.065093099E2,9.930719604E2
4.065492984E2,9.930719604E2
4.065893085E2,9.930750122E2
4.066293048E2,9.930766602E2
4.066693004E2,9.930780029E2
4.067093032E2,9.930794067E2
4.067493102E2,9.930784302E2
4.067893074E2,9.930762939E2
4.068293043E2,9.930739136E2
4.068693077E2,9.930727539E2
4.069093027E2,9.930733643E2
4.069493065E2,9.930743408E2
4.069893120E2,9.930747070E2
4.070292958E2,9.930739136E2
4.070693087E2,9.930725708E2
4.071093032E2,9.930704956E2
4.071493083E2,9.930698242E2
4.071893082E2,9.930684814E2
4.072292976E2,9.930676880E2
4.072693096E2,9.930675049E2
4.073093056E2,9.930656128E2
4.073493084E2,9.930636597E2
4.073893077E2,9.930612183E2
4.074293103E2,9.930596924E2
4.074693087E2,9.930599365E2
4.075093058E2,9.930603638E2
4.075493136E2,9.930596924E2
4.075893061E2,9.930597534E2
4.076293101E2,9.930579834E2
4.076692956E2,9.930543823E2
4.077092966E2,9.930531006E2
4.077493102E2,9.930522461E2
4.077893032E2,9.930523682E2
4.078293123E2,9.930545044E2
4.078693074E2,9.930545654E2
4.079092982E2,9.930543213E2
4.079493074E2,9.930541992E2
4.079893027E2,9.930505981E2
4.080293086E2,9.930465698E2
4.080693066E2,9.930462036E2
4.081093085E2,9.930462036E2
4.081493099E2,9.930463867E2
4.081893038E2,9.930484619E2
4.082293104E2,9.930483398E2
4.082693051E2,9.930457764E2
4.083093094E2,9.930438232E2
4.083493078E2,9.930416870E2
4.083892993E2,9.930387573E2
4.084293109E2,9.930389404E2
4.084693032E2,9.930397339E2
4.085093092E2,9.930387573E2
4.085493104E2,9.930374146E2
4.085893019E2,9.930369263E2
4.086293148E2,9.930360107E2
4.086693035E2,9.930369873E2
4.087093113E2,9.930389404E2
4.087493087E2,9.930389404E2
4.087893107E2,9.930391846E2
4.088293072E2,9.930390625E2
4.088693035E2,9.930374146E2
4.089093126E2,9.930340576E2
4.089493061E2,9.930333252E2
4.089893109E2,9.930325317E2
4.090293110E2,9.930296021E2
4.090692969E2,9.930281982E2
4.091093117E2,9.930268555E2
4.091493066E2,9.930264893E2
4.091893114E2,9.930260620E2
4.092293068E2,9.930262451E2
4.092692958E2,9.930276489E2
4.093093074E2,9.930280151E2
