"Time (s)","Pressure (hPa)"
5.317601138E2,9.903285980E2
5.328246198E2,9.903100586E2
5.338891408E2,9.902922058E2
5.349536128E2,9.902759552E2
5.360181138E2,9.902579498E2
5.370825968E2,9.902415466E2
5.381470698E2,9.902243805E2
5.392115468E2,9.902072906E2
5.402760568E2,9.901907349E2
5.413405738E2,9.901737213E2
5.424050958E2,9.901557922E2
5.434695788E2,9.901374817E2
5.445340888E2,9.901169586E2
5.455985978E2,9.900975800E2
5.466630928E2,9.900780487E2
5.477276308E2,9.900579834E2
5.487921818E2,9.900405121E2
5.498567068E2,9.900238800E2
5.509212328E2,9.900053406E2
5.519857238E2,9.899862671E2
5.530502268E2,9.899670410E2
5.541147488E2,9.899467468E2
5.551792728E2,9.899253082E2
5.562437898E2,9.899060059E2
5.573083098E2,9.898860168E2
5.583727938E2,9.898641205E2
5.594372878E2,9.898455811E2
5.605018508E2,9.898278046E2
5.615663588E2,9.898090363E2
5.626308698E2,9.897914124E2
5.636953858E2,9.897757721E2
5.647599068E2,9.897583008E2
5.658243618E2,9.897415161E2
5.668887918E2,9.897238159E2
5.679532748E2,9.897080231E2
5.690177628E2,9.896918488E2
5.700822228E2,9.896742249E2
5.711466908E2,9.896572876E2
5.722111898E2,9.896406555E2
5.732756718E2,9.896229553E2
5.743401718E2,9.896050262E2
5.754046608E2,9.895879364E2
5.764691378E2,9.895701599E2
5.775336458E2,9.895539093E2
5.785981388E2,9.895360565E2
5.796625938E2,9.895179749E2
5.807270948E2,9.895001984E2
5.817915878E2,9.894819641E2
5.828560948E2,9.894630432E2
5.839205658E2,9.894483185E2
5.849850658E2,9.894323730E2
5.860495698E2,9.894160461E2
5.871140428E2,9.894011688E2
5.881785188E2,9.893850708E2
5.892429938E2,9.893669128E2
5.903075018E2,9.893512726E2
5.913719788E2,9.893333435E2
5.924364528E2,9.893168640E2
5.935009578E2,9.892999268E2
5.945654588E2,9.892844391E2
5.956299228E2,9.892658234E2
5.966943918E2,9.892503357E2
5.977588658E2,9.892326355E2
5.988233348E2,9.892172241E2
5.998877998E2,9.892011261E2
6.009522978E2,9.891865540E2
6.020167208E2,9.891716766E2
6.030811568E2,9.891560364E2
6.041456008E2,9.891403198E2
6.052100638E2,9.891241455E2
6.062745688E2,9.891074371E2
6.073390568E2,9.890930939E2
6.084035688E2,9.890773010E2
6.094680118E2,9.890631104E2
6.105324878E2,9.890484619E2
6.115969798E2,9.890347290E2
6.126614628E2,9.890197754E2
6.137259358E2,9.890052032E2
6.147904158E2,9.889885712E2
6.158548928E2,9.889747620E2
6.169193398E2,9.889592743E2
6.179838018E2,9.889447021E2
6.190482478E2,9.889293671E2
6.201127258E2,9.889157104E2
6.211771988E2,9.889014435E2
6.222416518E2,9.888875580E2
6.233060908E2,9.888729858E2
6.243705138E2,9.888584137E2
6.254349288E2,9.888441467E2
6.264993378E2,9.888287354E2
6.275637398E2,9.888138580E2
6.286281688E2,9.887990570E2
6.296925888E2,9.887857819E2
6.307569498E2,9.887714386E2
6.318213278E2,9.887547302E2
6.328857218E2,9.887401581E2
6.339501448E2,9.887248993E2
6.350145408E2,9.887100220E2
6.360789888E2,9.886948395E2
6.371434088E2,9.886814880E2
6.382078218E2,9.886658478E2
6.392722478E2,9.886502838E2
6.403366938E2,9.886358643E2
6.414011238E2,9.886200714E2
6.424655658E2,9.886054993E2
6.435300178E2,9.885920715E2
6.445944518E2,9.885777283E2
6.456588388E2,9.885627747E2
6.467232538E2,9.885488129E2
6.477876608E2,9.885343933E2
6.488520728E2,9.885205841E2
6.499164828E2,9.885071564E2
6.509809288E2,9.884932709E2
6.520453448E2,9.884792328E2
6.531097698E2,9.884635925E2
6.541741768E2,9.884482574E2
6.552385678E2,9.884346008E2
6.563029478E2,9.884199524E2
6.573674188E2,9.884060669E2
6.584318758E2,9.883920288E2
6.594963338E2,9.883772278E2
6.605607748E2,9.883618164E2
6.616251938E2,9.883469391E2
6.626896178E2,9.883317566E2
6.637540718E2,9.883192444E2
6.648185638E2,9.883062744E2
6.658829638E2,9.882919312E2
6.669474118E2,9.882790375E2
6.680118418E2,9.882669067E2
6.690762828E2,9.882543945E2
6.701407178E2,9.882418823E2
6.712051278E2,9.882316589E2
6.722695348E2,9.882203674E2
6.733339238E2,9.882103729E2
6.743982978E2,9.882001495E2
6.754626718E2,9.881903839E2
6.765270528E2,9.881797791E2
6.775914098E2,9.881710815E2
6.786557578E2,9.881619263E2
6.797201198E2,9.881525421E2
6.807844738E2,9.881446075E2
6.818488638E2,9.881354523E2
6.829132308E2,9.881240845E2
6.839776008E2,9.881140137E2
6.850420048E2,9.881026459E2
6.861063748E2,9.880884552E2
6.871707818E2,9.880739594E2
6.882351988E2,9.880592346E2
6.892996098E2,9.880420685E2
6.903640808E2,9.880251312E2
6.914285258E2,9.880086517E2
6.924930048E2,9.879922485E2
6.935574898E2,9.879757690E2
6.946219708E2,9.879598999E2
6.956864658E2,9.879444122E2
6.967509838E2,9.879290771E2
6.978154578E2,9.879135895E2
6.988799328E2,9.878987122E2
6.999444018E2,9.878847504E2
7.010088638E2,9.878707886E2
7.020733338E2,9.878559875E2
7.031377778E2,9.878419495E2
7.042022228E2,9.878284454E2
7.052666418E2,9.878147125E2
7.063310498E2,9.877999878E2
7.073954978E2,9.877869415E2
7.084599278E2,9.877737427E2
7.095243458E2,9.877581787E2
7.105887628E2,9.877432251E2
7.116531768E2,9.877289581E2
7.127175998E2,9.877122498E2
7.137819938E2,9.876975250E2
7.148464108E2,9.876831055E2
7.159108498E2,9.876690674E2
7.169752878E2,9.876527405E2
7.180397178E2,9.876397705E2
7.191041338E2,9.876250458E2
7.201685138E2,9.876099396E2
7.212328928E2,9.875951385E2
7.222972818E2,9.875807190E2
7.233616808E2,9.875656128E2
7.244260768E2,9.875498962E2
7.254905698E2,9.875363922E2
7.265549868E2,9.875212097E2
7.276193908E2,9.875054169E2
7.286838068E2,9.874900818E2
7.297482088E2,9.874763489E2
7.308126428E2,9.874608612E2
7.318770928E2,9.874477386E2
7.329415158E2,9.874342346E2
7.340059668E2,9.874221039E2
7.350704348E2,9.874089813E2
7.361348928E2,9.873959351E2
7.371993568E2,9.873812866E2
7.382638228E2,9.873664856E2
7.393283048E2,9.873522186E2
7.403927338E2,9.873381805E2
7.414571448E2,9.873233795E2
7.425215718E2,9.873088837E2
7.435860018E2,9.872946930E2
7.446504058E2,9.872804260E2
7.457148278E2,9.872668457E2
7.467792468E2,9.872517395E2
7.478436838E2,9.872364807E2
7.489081378E2,9.872219086E2
7.499725958E2,9.872080994E2
7.510370038E2,9.871931458E2
7.521014078E2,9.871791840E2
7.531658058E2,9.871656036E2
7.542301718E2,9.871520233E2
7.552945678E2,9.871378326E2
7.563589428E2,9.871225739E2
7.574232768E2,9.871076202E2
7.584876528E2,9.870918274E2
7.595519908E2,9.870760345E2
7.606163598E2,9.870598602E2
7.616807388E2,9.870435333E2
7.627450958E2,9.870291138E2
7.638094538E2,9.870135498E2
7.648738528E2,9.869986725E2
7.659382818E2,9.869837189E2
7.670026638E2,9.869688416E2
7.680670318E2,9.869518280E2
7.691314218E2,9.869361877E2
7.701958148E2,9.869178772E2
7.712601948E2,9.869020844E2
7.723245338E2,9.868859100E2
7.733889418E2,9.868712616E2
7.744533218E2,9.868562317E2
7.755176818E2,9.868409729E2
7.765820198E2,9.868251038E2
7.776464028E2,9.868099213E2
7.787108028E2,9.867945099E2
7.797752198E2,9.867790222E2
7.808395888E2,9.867626190E2
7.819039898E2,9.867465973E2
7.829683888E2,9.867292023E2
7.840327938E2,9.867122650E2
7.850972148E2,9.866945648E2
7.861616508E2,9.866781616E2
7.872260578E2,9.866620636E2
7.882904578E2,9.866463470E2
7.893548298E2,9.866298676E2
7.904192738E2,9.866149902E2
7.914837518E2,9.865996552E2
7.925481588E2,9.865852356E2
7.936125838E2,9.865689850E2
7.946769768E2,9.865545654E2
7.957414198E2,9.865398407E2
7.968058558E2,9.865244293E2
7.978703128E2,9.865092468E2
7.989347438E2,9.864949036E2
7.999991418E2,9.864799500E2
8.010635408E2,9.864647675E2
8.021279128E2,9.864507294E2
8.031922998E2,9.864343262E2
8.042566988E2,9.864175415E2
8.053211338E2,9.864019775E2
8.063855448E2,9.863877869E2
8.074498958E2,9.863721466E2
8.085142368E2,9.863583374E2
8.095786058E2,9.863449097E2
8.106429778E2,9.863324738E2
8.117073878E2,9.863184357E2
8.127717648E2,9.863066864E2
8.138361808E2,9.862948608E2
8.149005408E2,9.862812042E2
8.159649108E2,9.862670135E2
8.170292668E2,9.862525177E2
8.180936368E2,9.862380219E2
8.191579938E2,9.862218475E2
8.202223458E2,9.862081146E2
8.212867448E2,9.861949158E2
8.223511468E2,9.861829376E2
8.234155568E2,9.861705780E2
8.244799618E2,9.861585236E2
8.255443628E2,9.861455536E2
8.266087558E2,9.861312866E2
8.276731228E2,9.861199188E2
8.287375148E2,9.861052704E2
8.298019208E2,9.860914612E2
8.308663078E2,9.860782623E2
8.319306928E2,9.860658264E2
8.329950778E2,9.860517120E2
8.340594698E2,9.860387421E2
8.351238438E2,9.860265350E2
8.361882298E2,9.860154724E2
8.372525928E2,9.860027313E2
8.383170008E2,9.859893799E2
8.393813488E2,9.859783173E2
8.404456798E2,9.859653473E2
8.415100778E2,9.859524536E2
8.425744658E2,9.859391785E2
8.436388308E2,9.859262848E2
8.447031668E2,9.859145355E2
8.457675328E2,9.859030151E2
8.468318968E2,9.858913422E2
8.478962648E2,9.858799744E2
8.489606078E2,9.858695984E2
8.500249788E2,9.858560181E2
8.510893608E2,9.858434296E2
8.521537278E2,9.858329773E2
8.532180468E2,9.858217621E2
8.542824088E2,9.858088684E2
8.553467698E2,9.857971954E2
8.564111078E2,9.857832336E2
8.574754508E2,9.857700348E2
8.585397958E2,9.857569122E2
8.596040918E2,9.857451630E2
8.606684008E2,9.857327271E2
8.617327308E2,9.857205200E2
8.627970338E2,9.857073975E2
8.638613308E2,9.856941223E2
8.649256398E2,9.856809998E2
8.659899438E2,9.856684113E2
8.670542528E2,9.856568146E2
8.681185738E2,9.856455994E2
8.691829358E2,9.856334686E2
8.702473128E2,9.856212616E2
8.713116768E2,9.856090546E2
8.723760378E2,9.855944061E2
8.734403738E2,9.855827332E2
8.745047258E2,9.855694580E2
8.755691088E2,9.855566406E2
8.766335058E2,9.855426025E2
8.776978828E2,9.855297089E2
8.787622888E2,9.855162811E2
8.798266538E2,9.855030060E2
8.808910358E2,9.854907227E2
8.819554798E2,9.854795837E2
8.830198788E2,9.854663086E2
8.840842638E2,9.854538727E2
8.851486418E2,9.854411316E2
8.862129998E2,9.854267883E2
8.872773498E2,9.854113007E2
8.883417088E2,9.853986359E2
8.894060378E2,9.853867340E2
8.904703988E2,9.853734589E2
8.915347648E2,9.853618622E2
8.925990848E2,9.853498840E2
8.936633878E2,9.853366089E2
8.947277178E2,9.853229523E2
8.957920878E2,9.853109741E2
8.968564558E2,9.852974701E2
8.979208218E2,9.852858734E2
8.989851828E2,9.852732849E2
9.000495448E2,9.852624512E2
9.011138548E2,9.852482605E2
9.021781908E2,9.852352142E2
9.032425468E2,9.852214813E2
9.043068468E2,9.852073669E2
9.053711698E2,9.851949310E2
9.064354628E2,9.851812744E2
9.074997918E2,9.851665497E2
9.085641408E2,9.851536560E2
9.096284968E2,9.851383972E2
9.106928158E2,9.851197815E2
9.117571358E2,9.851007080E2
9.128214608E2,9.850802612E2
9.138858118E2,9.850576019E2
9.149501748E2,9.850391388E2
9.160145308E2,9.850243378E2
